Product_Name,Price,Speed,Control,Weight (g)
Butterfly Maze Performance,69.99,87.49586776859505,78.10126582278481,73.0
Butterfly Mazunov,74.99,87.49586776859505,78.10126582278481,103.0
Butterfly Mizutani Jun Super ZLC ,399.99,87.49586776859505,78.10126582278481,90.0
Butterfly Mizutani Jun ZLC,269.99,87.49586776859505,78.10126582278481,86.0
Butterfly Petr Korbel ,69.99,87.49586776859505,78.10126582278481,91.0
Butterfly Primorac ,69.99,87.49586776859505,78.10126582278481,88.0
Butterfly Primorac Carbon,104.99,87.49586776859505,78.10126582278481,88.0
Butterfly Primorac Carbon - Chinese Penh...,199.99,87.49586776859505,78.10126582278481,84.0
Butterfly Revoldia CNF ,369.99,87.49586776859505,78.10126582278481,90.0
Butterfly Sardius,134.99,87.49586776859505,78.10126582278481,92.0
Butterfly Shamada - Chinese Penhold,84.99,87.49586776859505,78.10126582278481,89.0
Butterfly SK Carbon,99.99,87.49586776859505,78.10126582278481,78.0
Butterfly SK Carbon - Chinese Penhold,94.99,87.49586776859505,78.10126582278481,76.0
Butterfly SK7 Classic,89.99,87.49586776859505,78.10126582278481,89.0
Butterfly SK7 Classic - Chinese Penhold,89.99,87.49586776859505,78.10126582278481,91.0
Butterfly Strave - Chinese Penhold,134.99,87.49586776859505,78.10126582278481,74.0
Butterfly Supreme Speed - Chinese Penhol...,179.99,87.49586776859505,78.10126582278481,79.0
Butterfly Taksim - Chinese Penhold,269.99,87.49586776859505,78.10126582278481,80.0
Butterfly TB5,64.99,87.49586776859505,78.10126582278481,86.0
Butterfly TB5 Alpha,64.99,87.49586776859505,78.10126582278481,88.0
Butterfly TB7,69.99,87.49586776859505,78.10126582278481,84.0
Butterfly Timo Boll ALC ,184.99,87.49586776859505,78.10126582278481,86.0
Butterfly Timo Boll ALC - Chinese Penhol...,284.99,87.49586776859505,78.10126582278481,84.0
Butterfly Timo Boll Allround,56.99,87.49586776859505,78.10126582278481,85.0
Butterfly Timo Boll CAF,104.99,87.49586776859505,78.10126582278481,82.0
Butterfly Timo Boll CAF - Chinese Penhol...,99.74,87.49586776859505,78.10126582278481,79.0
Butterfly Timo Boll Control,54.99,87.49586776859505,78.10126582278481,85.0
Butterfly Timo Boll Forte,71.24,87.49586776859505,78.10126582278481,90.0
Butterfly Timo Boll J,69.99,87.49586776859505,78.10126582278481,70.0
Butterfly Timo Boll Offensive,61.74,87.49586776859505,78.10126582278481,90.0
Butterfly Timo Boll Spirit,134.99,87.49586776859505,78.10126582278481,87.0
Butterfly Timo Boll TJ,104.99,87.49586776859505,78.10126582278481,70.0
Butterfly Timo Boll W7,99.99,87.49586776859505,78.10126582278481,94.0
Butterfly Timo Boll ZLC,269.99,87.49586776859505,78.10126582278481,85.0
Butterfly Timo Boll ZLC - Chinese Penhol...,399.99,87.49586776859505,78.10126582278481,82.0
Butterfly Timo Boll ZLF,204.24,87.49586776859505,78.10126582278481,83.0
Butterfly Timo Boll ZLF - Chinese Penhol...,374.99,87.49586776859505,78.10126582278481,81.0
Butterfly Viscaria ,184.99,87.49586776859505,78.10126582278481,87.0
Butterfly Xstar IV,49.99,87.49586776859505,78.10126582278481,79.0
Butterfly Yoshida Kaii - Chinese Penhold,74.99,87.49586776859505,78.10126582278481,92.0
Butterfly Zhang Jike ALC,184.99,87.49586776859505,78.10126582278481,88.0
Butterfly Zhang Jike Super ZLC,399.99,87.49586776859505,78.10126582278481,90.0
Butterfly Zhang Jike Super ZLC - Chinese...,599.99,87.49586776859505,78.10126582278481,84.0
Butterfly Zhang Jike T5000,184.99,87.49586776859505,78.10126582278481,91.0
Butterfly Zhang Jike ZLC,269.99,87.49586776859505,78.10126582278481,87.0
Cornilleau Hinotec All+,55.95,70.0,75.0,85.0
Donic Appelgren Allplay,37.99,73.0,82.0,81.0
Donic Appelgren Dotec Control,65.95,79.0,76.0,70.0
Donic Burn ALL+,49.95,80.0,85.0,80.0
Donic Burn OFF,39.99,94.0,65.0,90.0
Donic Crisan Titanium,49.95,91.0,78.0,85.0
Donic Defplay Senso V3,49.95,63.0,94.0,74.0
Donic Dyjas Ultra Power,59.99,95.0,87.0,85.3443113772455
Donic Epox Control,39.95,70.0,90.0,85.0
Donic New Impuls 6.5,114.95,78.0,78.0,80.0
Donic New Impuls 7.0,114.95,85.0,75.0,85.0
Donic Ovtcharov Carbospeed,74.95,107.0,60.0,85.0
Donic Ovtcharov Exclusive Carbon,49.95,90.0,65.0,85.0
Donic Ovtcharov No. 1,122.95,93.0,69.0,85.0
Donic Ovtcharov Senso Carbon V1,79.99,90.0,70.0,85.3443113772455
Donic Ovtcharov Soft Carbon V1,69.95,80.0,79.0,90.0
Donic Ovtcharov True Carbon,106.95,99.0,72.0,90.0
Donic Persson Carbotec,67.95,98.0,72.0,90.0
Donic Persson Exclusive OFF,32.95,75.0,70.0,85.0
Donic Persson Power Allround,42.95,77.0,79.0,85.0
Donic Persson Powerplay,49.95,92.0,63.0,85.3443113772455
Donic Shiono DEF,69.95,55.0,99.0,83.0
Donic Waldner Black Devil Carbon Balsa,86.95,95.0,79.0,80.0
Donic Waldner Dotec Allround,72.95,85.0,80.0,78.0
Donic Waldner Exclusive AR+,32.95,76.0,74.0,85.0
Donic Waldner Legend Carbon,74.95,105.0,65.0,85.0
Donic Waldner Offensive 2016,38.95,91.0,72.0,82.0
Donic Waldner Offensive 40 ,49.99,87.49586776859505,78.10126582278481,90.0
Donic Waldner Senso Carbon JO Shape V1,59.99,86.0,70.0,85.3443113772455
Donic Waldner Senso Carbon V1,59.99,86.0,70.0,85.3443113772455
